"electorate","province_code","pc_count","ps_count","candidate_count","vote_count"
"General","02",76,286,35,38736
"General","03",153,483,28,86093
"General","07",68,303,33,43675
"General","08",96,216,12,32847
"General","10",219,518,40,125564
"General","14",181,524,55,77509
"General","15",108,395,31,83467
"General","16",28,97,18,13853
"General","17",267,763,76,158976
"General","20",91,300,31,76207
"General","22",73,280,33,79779
"General","24",252,551,41,134695
"General","25",29,119,25,12692
"General","26",42,127,24,12511
"General","28",53,207,30,55234
"General","29",78,280,61,67474
"General","33",42,140,41,24689
"General","34",50,196,12,32513
