"results_status","electorate","province_code","missing_ballot_number"
"FINAL","General","01",352
"FINAL","General","04",6
"FINAL","General","06",87
"FINAL","General","19",26
"FINAL","General","21",31
"FINAL","General","21",37
"FINAL","General","23",29
"FINAL","General","27",32
"FINAL","General","29",44
"FINAL","General","30",40
"FINAL","General","30",51
"FINAL","General","30",79
"FINAL","General","31",3
"FINAL","General","31",9
"FINAL","General","31",15
"FINAL","General","31",17
"FINAL","General","32",60
"FINAL","General","32",159
"FINAL","General","33",36
"PRELIMINARY","General","01",352
"PRELIMINARY","General","03",23
"PRELIMINARY","General","04",6
"PRELIMINARY","General","06",87
"PRELIMINARY","General","10",7
"PRELIMINARY","General","10",12
"PRELIMINARY","General","19",26
"PRELIMINARY","General","21",31
"PRELIMINARY","General","21",37
"PRELIMINARY","General","23",29
"PRELIMINARY","General","27",32
"PRELIMINARY","General","29",44
"PRELIMINARY","General","30",40
"PRELIMINARY","General","30",51
"PRELIMINARY","General","30",79
"PRELIMINARY","General","31",3
"PRELIMINARY","General","31",9
"PRELIMINARY","General","31",15
"PRELIMINARY","General","31",17
"PRELIMINARY","General","32",60
"PRELIMINARY","General","32",159
"PRELIMINARY","General","33",36
