"province_code","ps_reporting_count","ps_scan_count","difference","share_of_reporting"
1,2613,2448,-165,0.0631458094144661
2,334,276,-58,0.173652694610778
3,506,483,-23,0.0454545454545455
4,217,212,-5,0.0230414746543779
5,169,146,-23,0.136094674556213
6,1618,1500,-118,0.072929542645241
7,325,303,-22,0.0676923076923077
8,216,215,-1,0.00462962962962963
9,657,640,-17,0.0258751902587519
10,518,515,-3,0.00579150579150579
12,487,434,-53,0.108829568788501
13,482,0,-482,1
14,535,505,-30,0.0560747663551402
15,397,395,-2,0.00503778337531486
16,114,89,-25,0.219298245614035
17,763,763,0,0
18,683,681,-2,0.00292825768667643
19,313,312,-1,0.00319488817891374
20,303,302,-1,0.0033003300330033
21,938,914,-24,0.0255863539445629
22,285,282,-3,0.0105263157894737
23,434,427,-7,0.0161290322580645
24,551,550,-1,0.00181488203266788
25,119,117,-2,0.0168067226890756
26,143,127,-16,0.111888111888112
27,1010,913,-97,0.096039603960396
28,209,199,-10,0.0478468899521531
29,287,282,-5,0.0174216027874564
30,619,597,-22,0.0355411954765751
31,198,189,-9,0.0454545454545455
32,1150,1133,-17,0.0147826086956522
33,154,142,-12,0.0779220779220779
34,200,181,-19,0.095
35,3817,690,-3127,0.819229761592874
